100 population 100 generation
input 1 : with fitness 12485
9 1 1 1
22 2 1 1
5 4 1 2
26 3 1 2
39 5 1 2
14 2 1 3
48 1 1 3
2 4 1 4
34 1 1 4
40 5 1 4
16 1 1 5
21 5 1 5
37 1 2 1
50 3 2 1
4 1 2 2
45 4 2 2
6 3 2 3
43 1 2 3
1 2 2 4
10 3 2 4
23 4 2 4
36 1 2 4
25 3 2 5
49 4 2 5
input 2 : with fitness 9500
4 3 1 1
14 4 1 1
13 4 1 2
17 5 1 2
34 1 1 3
12 1 1 4
9 2 1 5
24 4 1 5
40 1 1 5
10 4 2 1
46 1 2 1
27 1 2 2
41 2 2 2
38 1 2 3
39 4 2 3
8 4 2 4
49 1 2 4
44 1 2 5
50 4 2 5
input 3: with fitness 16820
12 6 1 1
19 18 1 1
24 14 1 1
15 1 1 2
17 17 1 2
20 14 1 2
28 10 1 2
30 6 1 2
6 17 1 3
37 12 1 3
23 3 1 4
25 17 1 4
18 8 2 1
31 5 2 1
10 5 2 2
14 18 2 2
22 17 2 2
38 14 2 2
1 14 2 3
9 10 2 3
29 12 2 3
2 18 2 4
5 17 2 4
7 2 2 4
27 4 2 4
8 3 3 1
11 14 3 1
21 5 3 1
16 17 3 2
32 7 3 2
33 10 3 2
3 12 3 3
4 17 3 3
13 1 3 3
36 5 3 3
26 17 3 4
34 14 3 4
39 5 3 4
input 4: with fitness 5932
37 4 1 1
42 1 1 2
97 4 1 2
56 5 1 3
48 4 1 5
67 1 1 6
75 2 2 2
77 1 2 2
49 6 2 3
95 7 2 3
13 7 2 4
84 4 2 5
90 7 2 6
